primary_label,secondary_labels,type,filename,collection,rating,url,latitude,longitude,scientific_name,common_name,author,license
126247,[''],[''],126247/iNat888527.ogg,iNat,0.0,train_audio_clear/126247/iNat888527.ogg,7.4197,-80.1606,Leptodactylus insularum,Spotted Foam-nest Frog,Hubert Szczygieł,cc-by-nc 4.0
126247,[''],[''],126247/iNat888729.ogg,iNat,0.0,train_audio_clear/126247/iNat888729.ogg,7.4197,-80.1606,Leptodactylus insularum,Spotted Foam-nest Frog,Hubert Szczygieł,cc-by-nc 4.0
1346504,[''],[''],1346504/CSA18784.ogg,CSA,0.0,train_audio_clear/1346504/CSA18784.ogg,5.7892,-73.5504,Neoconocephalus brachypterus,Neoconocephalus brachypterus,Diego A Gómez-Morales,cc-by-nc-sa 4.0
1346504,[''],[''],1346504/CSA18791.ogg,CSA,0.0,train_audio_clear/1346504/CSA18791.ogg,5.7892,-73.5504,Neoconocephalus brachypterus,Neoconocephalus brachypterus,Diego A Gómez-Morales,cc-by-nc-sa 4.0
1346504,[''],[''],1346504/CSA18792.ogg,CSA,0.0,train_audio_clear/1346504/CSA18792.ogg,5.7892,-73.5504,Neoconocephalus brachypterus,Neoconocephalus brachypterus,Orlando Acevedo-Charry,cc-by-nc-sa 4.0
1346504,[''],[''],1346504/CSA18793.ogg,CSA,0.0,train_audio_clear/1346504/CSA18793.ogg,5.7892,-73.5504,Neoconocephalus brachypterus,Neoconocephalus brachypterus,Orlando Acevedo-Charry,cc-by-nc-sa 4.0
1346504,[''],[''],1346504/CSA18803.ogg,CSA,0.0,train_audio_clear/1346504/CSA18803.ogg,5.7892,-73.5504,Neoconocephalus brachypterus,Neoconocephalus brachypterus,Orlando Acevedo-Charry,cc-by-nc-sa 4.0
134933,[''],['advertisement call'],134933/XC941298.ogg,XC,4.0,train_audio_clear/134933/XC941298.ogg,8.626,-80.1392,Espadarana prosoblepon,Emerald Glass Frog,Chris Harrison,cc-by-nc-sa 4.0
134933,[''],[''],134933/iNat1108984.ogg,iNat,0.0,train_audio_clear/134933/iNat1108984.ogg,8.626,-80.1392,Espadarana prosoblepon,Emerald Glass Frog,Chris Harrison,cc-by-nc 4.0
134933,[''],[''],134933/iNat1160199.ogg,iNat,0.0,train_audio_clear/134933/iNat1160199.ogg,8.626,-80.1392,Espadarana prosoblepon,Emerald Glass Frog,Chris Harrison,cc-by-nc 4.0
134933,[''],[''],134933/iNat859408.ogg,iNat,0.0,train_audio_clear/134933/iNat859408.ogg,10.3639,-84.7898,Espadarana prosoblepon,Emerald Glass Frog,Federico A. Chinchilla Romero,cc-by-nc 4.0
135045,[''],[''],135045/iNat1122209.ogg,iNat,0.0,train_audio_clear/135045/iNat1122209.ogg,6.8819,-75.5274,Andinobates opisthomelas,Andean Poison Frog,Ricardo Sánchez,cc-by-nc 4.0
135045,[''],[''],135045/iNat1207345.ogg,iNat,0.0,train_audio_clear/135045/iNat1207345.ogg,6.0515,-75.3823,Andinobates opisthomelas,Andean Poison Frog,Unknown,cc-by-nc 4.0
135045,[''],[''],135045/iNat1207347.ogg,iNat,0.0,train_audio_clear/135045/iNat1207347.ogg,6.0515,-75.3823,Andinobates opisthomelas,Andean Poison Frog,Unknown,cc-by-nc 4.0
135045,[''],[''],135045/iNat1208549.ogg,iNat,0.0,train_audio_clear/135045/iNat1208549.ogg,6.0461,-75.2901,Andinobates opisthomelas,Andean Poison Frog,Unknown,cc-by-nc 4.0
135045,[''],[''],135045/iNat1208550.ogg,iNat,0.0,train_audio_clear/135045/iNat1208550.ogg,6.0424,-75.253,Andinobates opisthomelas,Andean Poison Frog,Unknown,cc-by-nc 4.0
135045,[''],[''],135045/iNat1208551.ogg,iNat,0.0,train_audio_clear/135045/iNat1208551.ogg,6.1436,-75.3364,Andinobates opisthomelas,Andean Poison Frog,Unknown,cc-by-nc 4.0
135045,[''],[''],135045/iNat1208552.ogg,iNat,0.0,train_audio_clear/135045/iNat1208552.ogg,6.0055,-75.3879,Andinobates opisthomelas,Andean Poison Frog,Unknown,cc-by-nc 4.0
135045,[''],[''],135045/iNat1208572.ogg,iNat,0.0,train_audio_clear/135045/iNat1208572.ogg,6.0106,-75.3322,Andinobates opisthomelas,Andean Poison Frog,Unknown,cc-by-nc 4.0
135045,[''],[''],135045/iNat327127.ogg,iNat,0.0,train_audio_clear/135045/iNat327127.ogg,6.874,-75.3888,Andinobates opisthomelas,Andean Poison Frog,Marley T. Gómez-Rincón,cc-by-nc 4.0
135045,[''],[''],135045/iNat48803.ogg,iNat,0.0,train_audio_clear/135045/iNat48803.ogg,6.1779,-75.5752,Andinobates opisthomelas,Andean Poison Frog,Wilmar Agudelo Sánchez,cc-by-nc 4.0
1462711,[''],[''],1462711/CSA36371.ogg,CSA,0.0,train_audio_clear/1462711/CSA36371.ogg,7.2625,-73.8207,Cocconotus aratifrons,Cocconotus aratifrons,Fabio A. Sarria-S,cc-by-nc-sa 4.0
1462711,[''],[''],1462711/CSA36379.ogg,CSA,0.0,train_audio_clear/1462711/CSA36379.ogg,7.3842,-73.8456,Cocconotus aratifrons,Cocconotus aratifrons,Fabio A. Sarria-S,cc-by-nc-sa 4.0
1462711,[''],[''],1462711/CSA36390.ogg,CSA,0.0,train_audio_clear/1462711/CSA36390.ogg,7.3842,-73.8456,Cocconotus aratifrons,Cocconotus aratifrons,Fabio A. Sarria-S,cc-by-nc-sa 4.0
1462737,[''],[''],1462737/CSA36341.ogg,CSA,0.0,train_audio_clear/1462737/CSA36341.ogg,7.32,-73.7069,Docidocercus fasciatus,Docidocercus fasciatus,Fabio A. Sarria-S,cc-by-nc-sa 4.0
1462737,[''],[''],1462737/CSA36369.ogg,CSA,0.0,train_audio_clear/1462737/CSA36369.ogg,7.3509,-73.8287,Docidocercus fasciatus,Docidocercus fasciatus,Fabio A. Sarria-S,cc-by-nc-sa 4.0
1462737,[''],[''],1462737/CSA36380.ogg,CSA,0.0,train_audio_clear/1462737/CSA36380.ogg,7.3842,-73.8456,Docidocercus fasciatus,Docidocercus fasciatus,Fabio A. Sarria-S,cc-by-nc-sa 4.0
1462737,[''],[''],1462737/CSA36381.ogg,CSA,0.0,train_audio_clear/1462737/CSA36381.ogg,7.3842,-73.8456,Docidocercus fasciatus,Docidocercus fasciatus,Fabio A. Sarria-S,cc-by-nc-sa 4.0
1462737,[''],[''],1462737/CSA36386.ogg,CSA,0.0,train_audio_clear/1462737/CSA36386.ogg,7.3842,-73.8456,Docidocercus fasciatus,Docidocercus fasciatus,Fabio A. Sarria-S,cc-by-nc-sa 4.0
1462737,[''],[''],1462737/CSA36391.ogg,CSA,0.0,train_audio_clear/1462737/CSA36391.ogg,7.3842,-73.8456,Docidocercus fasciatus,Docidocercus fasciatus,Fabio A. Sarria-S,cc-by-nc-sa 4.0
1462737,[''],[''],1462737/CSA36395.ogg,CSA,0.0,train_audio_clear/1462737/CSA36395.ogg,7.3206,-73.7128,Docidocercus fasciatus,Docidocercus fasciatus,Fabio A. Sarria-S,cc-by-nc-sa 4.0
1564122,[''],[''],1564122/CSA34195.ogg,CSA,0.0,train_audio_clear/1564122/CSA34195.ogg,-3.8333,-70.3333,Daedadelus waehnerorum ,Daedadelus waehnerorum ,Fernando Montealegre-Z,cc-by-nc-sa 4.0
1564122,[''],[''],1564122/CSA34196.ogg,CSA,0.0,train_audio_clear/1564122/CSA34196.ogg,-3.8333,-70.3333,Daedadelus waehnerorum ,Daedadelus waehnerorum ,Fernando Montealegre-Z,cc-by-nc-sa 4.0
1564122,[''],[''],1564122/CSA34197.ogg,CSA,0.0,train_audio_clear/1564122/CSA34197.ogg,-3.8333,-70.3333,Daedadelus waehnerorum ,Daedadelus waehnerorum ,Fernando Montealegre-Z,cc-by-nc-sa 4.0
1564122,[''],[''],1564122/CSA34198.ogg,CSA,0.0,train_audio_clear/1564122/CSA34198.ogg,-3.8333,-70.3333,Daedadelus waehnerorum ,Daedadelus waehnerorum ,Fernando Montealegre-Z,cc-by-nc-sa 4.0
1564122,[''],[''],1564122/CSA34199.ogg,CSA,0.0,train_audio_clear/1564122/CSA34199.ogg,-3.8333,-70.3333,Daedadelus waehnerorum ,Daedadelus waehnerorum ,Fernando Montealegre-Z,cc-by-nc-sa 4.0
1564122,[''],[''],1564122/CSA34200.ogg,CSA,0.0,train_audio_clear/1564122/CSA34200.ogg,-3.8333,-70.3333,Daedadelus waehnerorum ,Daedadelus waehnerorum ,Fernando Montealegre-Z,cc-by-nc-sa 4.0
21038,[''],[''],21038/iNat297879.ogg,iNat,0.0,train_audio_clear/21038/iNat297879.ogg,6.3741,-74.6802,Colostethus inguinalis,Common Rocket Frog,Marley T. Gómez-Rincón,cc-by-nc 4.0
21038,[''],[''],21038/iNat65519.ogg,iNat,0.0,train_audio_clear/21038/iNat65519.ogg,9.892,-75.1912,Colostethus inguinalis,Common Rocket Frog,José Gabriel Julio Guzmán,cc-by-nc 4.0
21116,[''],[''],21116/iNat296867.ogg,iNat,0.0,train_audio_clear/21116/iNat296867.ogg,5.8604,-74.8877,Dendrobates truncatus,Yellow-striped Poison Dart Frog,Marley T. Gómez-Rincón,cc-by-nc 4.0
21116,[''],[''],21116/iNat65520.ogg,iNat,0.0,train_audio_clear/21116/iNat65520.ogg,9.8882,-75.1882,Dendrobates truncatus,Yellow-striped Poison Dart Frog,José Gabriel Julio Guzmán,cc-by-nc 4.0
21211,[''],[''],21211/XC882646.ogg,XC,4.0,train_audio_clear/21211/XC882646.ogg,,,Allobates femoralis,Spotted-thighed Poison Frog,M.S. Hoogmoed,cc-by 4.0
21211,[''],[''],21211/XC882647.ogg,XC,4.0,train_audio_clear/21211/XC882647.ogg,,,Allobates femoralis,Spotted-thighed Poison Frog,M.S. Hoogmoed,cc-by 4.0
21211,[''],[''],21211/XC882648.ogg,XC,4.0,train_audio_clear/21211/XC882648.ogg,,,Allobates femoralis,Spotted-thighed Poison Frog,M.S. Hoogmoed,cc-by 4.0
21211,[''],[''],21211/XC882649.ogg,XC,4.0,train_audio_clear/21211/XC882649.ogg,,,Allobates femoralis,Spotted-thighed Poison Frog,M.S. Hoogmoed,cc-by 4.0
21211,[''],[''],21211/XC882650.ogg,XC,4.0,train_audio_clear/21211/XC882650.ogg,,,Allobates femoralis,Spotted-thighed Poison Frog,M.S. Hoogmoed,cc-by 4.0
21211,[''],[''],21211/XC882651.ogg,XC,4.0,train_audio_clear/21211/XC882651.ogg,,,Allobates femoralis,Spotted-thighed Poison Frog,M.S. Hoogmoed,cc-by 4.0
21211,[''],[''],21211/XC882652.ogg,XC,4.0,train_audio_clear/21211/XC882652.ogg,-4.2443,-69.9264,Allobates femoralis,Spotted-thighed Poison Frog,M.S. Hoogmoed,cc-by 4.0
21211,[''],[''],21211/XC882653.ogg,XC,4.0,train_audio_clear/21211/XC882653.ogg,,,Allobates femoralis,Spotted-thighed Poison Frog,M.S. Hoogmoed,cc-by 4.0
21211,[''],[''],21211/XC882654.ogg,XC,4.0,train_audio_clear/21211/XC882654.ogg,0.8366,-51.8884,Allobates femoralis,Spotted-thighed Poison Frog,M.S. Hoogmoed,cc-by 4.0
21211,[''],[''],21211/XC882655.ogg,XC,4.0,train_audio_clear/21211/XC882655.ogg,0.8366,-51.8884,Allobates femoralis,Spotted-thighed Poison Frog,M.S. Hoogmoed,cc-by 4.0
21211,[''],[''],21211/XC882656.ogg,XC,4.0,train_audio_clear/21211/XC882656.ogg,,,Allobates femoralis,Spotted-thighed Poison Frog,M.S. Hoogmoed,cc-by 4.0
21211,[''],[''],21211/XC882657.ogg,XC,4.0,train_audio_clear/21211/XC882657.ogg,,,Allobates femoralis,Spotted-thighed Poison Frog,M.S. Hoogmoed,cc-by 4.0
21211,[''],[''],21211/XC882658.ogg,XC,4.0,train_audio_clear/21211/XC882658.ogg,-4.3811,-70.0448,Allobates femoralis,Spotted-thighed Poison Frog,M.S. Hoogmoed,cc-by 4.0
21211,[''],[''],21211/XC882659.ogg,XC,4.0,train_audio_clear/21211/XC882659.ogg,-10.2097,-67.7092,Allobates femoralis,Spotted-thighed Poison Frog,M.S. Hoogmoed,cc-by 4.0
21211,[''],[''],21211/XC896828.ogg,XC,2.0,train_audio_clear/21211/XC896828.ogg,3.9871,-52.5875,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC896832.ogg,XC,3.0,train_audio_clear/21211/XC896832.ogg,3.9871,-52.5875,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC896838.ogg,XC,3.0,train_audio_clear/21211/XC896838.ogg,3.9871,-52.5875,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC896839.ogg,XC,4.0,train_audio_clear/21211/XC896839.ogg,3.9871,-52.5875,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC896840.ogg,XC,3.0,train_audio_clear/21211/XC896840.ogg,3.9871,-52.5875,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC896855.ogg,XC,3.0,train_audio_clear/21211/XC896855.ogg,3.9871,-52.5875,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC896857.ogg,XC,3.0,train_audio_clear/21211/XC896857.ogg,3.9871,-52.5875,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC896860.ogg,XC,3.0,train_audio_clear/21211/XC896860.ogg,3.9871,-52.5875,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC896861.ogg,XC,2.0,train_audio_clear/21211/XC896861.ogg,3.9871,-52.5875,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC896863.ogg,XC,3.0,train_audio_clear/21211/XC896863.ogg,3.9871,-52.5875,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC913785.ogg,XC,3.0,train_audio_clear/21211/XC913785.ogg,4.0883,-52.6813,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC913809.ogg,XC,3.0,train_audio_clear/21211/XC913809.ogg,4.0883,-52.6813,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC913811.ogg,XC,3.0,train_audio_clear/21211/XC913811.ogg,4.0883,-52.6813,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC913839.ogg,XC,3.0,train_audio_clear/21211/XC913839.ogg,4.0891,-52.6816,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC913840.ogg,XC,3.0,train_audio_clear/21211/XC913840.ogg,4.0891,-52.6816,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC913858.ogg,XC,3.0,train_audio_clear/21211/XC913858.ogg,4.0891,-52.6816,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC913859.ogg,XC,3.0,train_audio_clear/21211/XC913859.ogg,4.0891,-52.6816,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC913880.ogg,XC,4.0,train_audio_clear/21211/XC913880.ogg,4.0895,-52.682,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC913881.ogg,XC,4.0,train_audio_clear/21211/XC913881.ogg,4.0895,-52.682,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC913886.ogg,XC,4.0,train_audio_clear/21211/XC913886.ogg,4.0895,-52.682,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC913887.ogg,XC,4.0,train_audio_clear/21211/XC913887.ogg,4.0895,-52.682,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC913893.ogg,XC,3.0,train_audio_clear/21211/XC913893.ogg,4.0895,-52.682,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC913894.ogg,XC,3.0,train_audio_clear/21211/XC913894.ogg,4.0895,-52.682,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC913976.ogg,XC,3.0,train_audio_clear/21211/XC913976.ogg,4.0916,-52.6858,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC913977.ogg,XC,3.0,train_audio_clear/21211/XC913977.ogg,4.0916,-52.6858,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC913978.ogg,XC,3.0,train_audio_clear/21211/XC913978.ogg,4.0916,-52.6858,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC913992.ogg,XC,3.0,train_audio_clear/21211/XC913992.ogg,4.0916,-52.6858,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC913997.ogg,XC,3.0,train_audio_clear/21211/XC913997.ogg,4.0916,-52.6858,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC913998.ogg,XC,3.0,train_audio_clear/21211/XC913998.ogg,4.0946,-52.6862,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC914005.ogg,XC,3.0,train_audio_clear/21211/XC914005.ogg,4.0946,-52.6862,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC914013.ogg,XC,3.0,train_audio_clear/21211/XC914013.ogg,4.0964,-52.6858,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC914025.ogg,XC,3.0,train_audio_clear/21211/XC914025.ogg,4.0964,-52.6858,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC914028.ogg,XC,3.0,train_audio_clear/21211/XC914028.ogg,4.0964,-52.6858,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC917437.ogg,XC,3.0,train_audio_clear/21211/XC917437.ogg,4.0889,-52.6742,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC917444.ogg,XC,3.0,train_audio_clear/21211/XC917444.ogg,4.0889,-52.6742,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC917465.ogg,XC,2.0,train_audio_clear/21211/XC917465.ogg,4.0889,-52.6742,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC917470.ogg,XC,3.0,train_audio_clear/21211/XC917470.ogg,4.0889,-52.6742,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC917471.ogg,XC,3.0,train_audio_clear/21211/XC917471.ogg,4.0889,-52.6742,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC920803.ogg,XC,2.0,train_audio_clear/21211/XC920803.ogg,4.0945,-52.6862,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC920868.ogg,XC,3.0,train_audio_clear/21211/XC920868.ogg,4.0425,-52.6779,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC920870.ogg,XC,3.0,train_audio_clear/21211/XC920870.ogg,4.0425,-52.6779,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC920872.ogg,XC,3.0,train_audio_clear/21211/XC920872.ogg,4.0425,-52.6779,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC920873.ogg,XC,3.0,train_audio_clear/21211/XC920873.ogg,4.0425,-52.6779,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC920881.ogg,XC,3.0,train_audio_clear/21211/XC920881.ogg,4.0425,-52.6779,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC920888.ogg,XC,3.0,train_audio_clear/21211/XC920888.ogg,4.0425,-52.6779,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC920892.ogg,XC,3.0,train_audio_clear/21211/XC920892.ogg,4.0425,-52.6779,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC925906.ogg,XC,3.0,train_audio_clear/21211/XC925906.ogg,4.0849,-52.6841,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC925907.ogg,XC,3.0,train_audio_clear/21211/XC925907.ogg,4.0849,-52.6841,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC925908.ogg,XC,3.0,train_audio_clear/21211/XC925908.ogg,4.0849,-52.6841,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC925925.ogg,XC,3.0,train_audio_clear/21211/XC925925.ogg,4.0849,-52.6841,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC928709.ogg,XC,3.0,train_audio_clear/21211/XC928709.ogg,3.6023,-53.26,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC928710.ogg,XC,3.0,train_audio_clear/21211/XC928710.ogg,3.6023,-53.26,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC928714.ogg,XC,3.0,train_audio_clear/21211/XC928714.ogg,3.6023,-53.26,Allobates femoralis,Spotted-thighed Poison Frog,Delaitre guillaume,cc-by-nc-sa 4.0
21211,[''],[''],21211/XC934741.ogg,XC,5.0,train_audio_clear/21211/XC934741.ogg,5.2313,-52.8547,Allobates femoralis,Spotted-thighed Poison Frog,Yannick Wiegers,cc-by-nc-sa 4.0
21211,[''],[''],21211/iNat1005762.ogg,iNat,0.0,train_audio_clear/21211/iNat1005762.ogg,4.87,-52.3162,Allobates femoralis,Spotted-thighed Poison Frog,Julien Piolain,cc-by-nc 4.0
21211,[''],[''],21211/iNat359445.ogg,iNat,0.0,train_audio_clear/21211/iNat359445.ogg,-4.1323,-69.9548,Allobates femoralis,Spotted-thighed Poison Frog,Unknown,cc-by-nc 4.0
21211,[''],[''],21211/iNat361221.ogg,iNat,0.0,train_audio_clear/21211/iNat361221.ogg,-4.1306,-69.9562,Allobates femoralis,Spotted-thighed Poison Frog,Johana Perez Mira,cc-by-nc 4.0
21211,[''],[''],21211/iNat361222.ogg,iNat,0.0,train_audio_clear/21211/iNat361222.ogg,-4.131,-69.9557,Allobates femoralis,Spotted-thighed Poison Frog,Johana Perez Mira,cc-by-nc 4.0
21211,[''],[''],21211/iNat597267.ogg,iNat,0.0,train_audio_clear/21211/iNat597267.ogg,-8.0523,-71.2039,Allobates femoralis,Spotted-thighed Poison Frog,Esteban Diego Koch,cc-by-nc 4.0
